epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,1453.17,0.64166,0.39261,0.88298,0.83787,0.88,0.90404,0.53276,1.57518,0.75638,1.57171,0.00076438,0.00076438,0.00076438
121,1465.03,0.6175,0.37826,0.91186,0.91419,0.8527,0.91549,0.50927,1.56796,0.77481,1.55835,0.0007624,0.0007624,0.0007624
122,1477.98,0.62528,0.38852,0.87801,1,0.7954,0.92598,0.49531,1.72899,0.82172,1.70541,0.00076042,0.00076042,0.00076042
123,1490.88,0.63385,0.39739,0.88984,0.93473,0.84,0.9284,0.46581,1.71163,0.791,1.69038,0.00075844,0.00075844,0.00075844
124,1504.38,0.61248,0.38517,0.9016,0.90446,0.84,0.88947,0.49736,1.61025,0.7659,1.61773,0.00075646,0.00075646,0.00075646
125,1516.22,0.6416,0.39838,0.90214,0.90556,0.84,0.89533,0.50574,1.59594,0.79665,1.59789,0.00075448,0.00075448,0.00075448
126,1528.33,0.59048,0.37612,0.88569,0.90254,0.8,0.86728,0.49504,1.63564,0.77731,1.58748,0.0007525,0.0007525,0.0007525
127,1538.36,0.62227,0.37837,0.90604,0.95118,0.88,0.91051,0.49913,1.5843,0.80562,1.55627,0.00075052,0.00075052,0.00075052
128,1550.06,0.62049,0.38249,0.89408,0.97342,0.84,0.90756,0.53917,1.49421,0.72083,1.48716,0.00074854,0.00074854,0.00074854
129,1560.17,0.58882,0.36476,0.89203,0.87233,0.88,0.91963,0.53019,1.54145,0.71361,1.53996,0.00074656,0.00074656,0.00074656
130,1572.87,0.57157,0.36937,0.87962,0.93158,0.76,0.85233,0.47733,1.61263,0.70466,1.57075,0.00074458,0.00074458,0.00074458
131,1585.32,0.56727,0.37847,0.86106,0.89978,0.76,0.85632,0.47028,1.62215,0.71732,1.59856,0.0007426,0.0007426,0.0007426
132,1597.99,0.54027,0.35135,0.86494,0.86581,0.84,0.89748,0.50539,1.60595,0.70616,1.60922,0.00074062,0.00074062,0.00074062
